Date,AAPL,JPM,PFE,XOM
2022-08-09,162.19989013671875,105.73158264160156,40.80904769897461,80.27816772460938
2022-08-10,166.44863891601562,108.4898910522461,40.94841003417969,81.04029083251953
2022-08-11,165.7110137939453,110.09355926513672,39.58755874633789,83.38462829589844
2022-08-12,169.26145935058594,111.9171371459961,41.0795783996582,84.10938262939453
2022-08-15,170.33348083496094,112.21954345703125,40.78445053100586,82.60614776611328
2022-08-16,170.1761474609375,113.29170989990234,40.874629974365234,81.8366470336914
2022-08-17,171.67105102539062,112.33866882324219,40.39095687866211,82.498779296875
2022-08-18,171.27764892578125,111.46810913085938,39.82530212402344,84.44940948486328
2022-08-19,168.6910400390625,108.70983123779297,40.292579650878906,84.18097686767578
2022-08-22,164.80618286132812,106.9137191772461,40.08763122558594,84.11834716796875
2022-08-23,164.47178649902344,105.85987854003906,39.3580207824707,87.68851470947266
2022-08-24,164.76681518554688,106.1164779663086,38.88254928588867,88.20747375488281
2022-08-25,167.22561645507812,108.63651275634766,39.26784896850586,88.663818359375
2022-08-26,160.92132568359375,105.08097076416016,38.382469177246094,87.57217407226562
2022-08-29,158.71827697753906,104.82440185546875,37.89879608154297,89.58544921875
2022-08-30,156.28903198242188,104.84271240234375,37.58727264404297,86.17633056640625
2022-08-31,154.62686157226562,104.21957397460938,37.07901382446289,85.53207397460938
2022-09-01,155.35467529296875,104.9343490600586,38.22671127319336,83.99308013916016
2022-09-02,153.2401580810547,104.20125579833984,37.46430587768555,85.53207397460938
2022-09-06,151.9812469482422,104.2287368774414,37.51349639892578,84.95942687988281
2022-09-07,153.3876495361328,106.20811462402344,37.81682205200195,84.23464965820312
2022-09-08,151.91238403320312,108.68234252929688,38.595619201660156,84.92362213134766
2022-09-09,154.77442932128906,109.20466613769531,39.218658447265625,86.3463363647461
2022-09-12,160.7344512939453,110.49675750732422,39.15306854248047,87.33955383300781
2022-09-13,151.30262756347656,106.65714263916016,37.86600875854492,85.29944610595703
2022-09-14,152.7484130859375,106.40970611572266,37.83321762084961,87.39322662353516
2022-09-15,149.85687255859375,108.01338195800781,37.66106033325195,84.85205841064453
2022-09-16,148.21441650390625,107.28944396972656,37.734840393066406,83.40250396728516
2022-09-19,151.93209838867188,108.27912902832031,37.25116729736328,83.39356994628906
2022-09-20,154.31216430664062,106.14397430419922,36.701908111572266,82.71353149414062
2022-09-21,151.1846160888672,103.08326721191406,36.00508117675781,81.38030242919922
2022-09-22,150.2207794189453,101.91030883789062,36.5379524230957,81.04029846191406
2022-09-23,147.9488983154297,100.01341247558594,36.136260986328125,76.7274398803711
2022-09-26,148.2832794189453,97.85992431640625,35.931312561035156,75.14369201660156
2022-09-27,149.25694274902344,96.9985122680664,36.14445495605469,76.718505859375
2022-09-28,147.36862182617188,98.95956420898438,36.42318344116211,79.51021575927734
2022-09-29,140.1300048828125,97.28260040283203,36.201839447021484,79.34915161132812
2022-09-30,135.9206085205078,95.76142120361328,35.873924255371094,78.12330627441406
2022-10-03,140.10049438476562,98.7213134765625,36.18544006347656,82.24824523925781
2022-10-04,143.69027709960938,103.33985137939453,36.44777297973633,85.24576568603516
2022-10-05,143.98533630371094,102.06393432617188,36.169044494628906,88.69065856933594
2022-10-06,143.03134155273438,99.98363494873047,35.32466506958008,91.3213119506836
2022-10-07,137.7794189453125,97.986572265625,34.69342803955078,90.39971160888672
2022-10-10,138.10397338867188,97.07122802734375,34.22614669799805,88.44012451171875
2022-10-11,136.68772888183594,94.26976013183594,34.365516662597656,87.68851470947266
2022-10-12,136.05831909179688,95.7953109741211,34.455684661865234,88.0732650756836
2022-10-13,140.63160705566406,101.12088775634766,35.234493255615234,91.15131378173828
2022-10-14,136.09762573242188,102.8036117553711,35.1361083984375,88.75330352783203
2022-10-17,140.06114196777344,107.12136840820312,35.78375244140625,90.03284454345703
2022-10-18,141.3790740966797,109.87659454345703,36.14445495605469,90.19389343261719
2022-10-19,141.48724365234375,107.72235107421875,35.341064453125,92.8692855834961
2022-10-20,141.02499389648438,107.37098693847656,35.17709732055664,92.99456787109375
2022-10-21,144.8409881591797,113.01092529296875,36.84946823120117,94.72148132324219
2022-10-24,146.98504638671875,113.14960479736328,37.33315658569336,95.38362121582031
2022-10-25,149.8273468017578,113.4454574584961,37.37413787841797,94.7393798828125
2022-10-26,146.88671875,114.74913024902344,37.75943374633789,95.86680603027344
2022-10-27,142.41172790527344,115.20216369628906,37.49710464477539,96.23365020751953
2022-10-28,153.1713104248047,116.57054901123047,38.88254928588867,99.05220794677734
2022-10-31,150.81089782714844,116.3856201171875,38.161136627197266,99.15065002441406
2022-11-01,148.1652374267578,118.48441314697266,39.3580207824707,100.13490295410156
2022-11-02,142.63795471191406,117.3934097290039,38.58742141723633,98.07691192626953
2022-11-03,136.58937072753906,117.6060562133789,38.50473403930664,99.4101333618164
2022-11-04,136.32339477539062,120.82357025146484,39.04216384887695,100.49281311035156
2022-11-07,136.85537719726562,121.4615478515625,38.9346809387207,101.68289184570312
2022-11-08,137.4267578125,121.53551483154297,39.1496467590332,102.0050048828125
2022-11-09,132.86553955078125,119.95450592041016,38.62876510620117,97.44161224365234
2022-11-10,144.6872100830078,124.89173126220703,39.174461364746094,98.87327575683594
2022-11-11,147.4751739501953,125.09513092041016,39.356361389160156,101.96025848388672
2022-11-14,146.07626342773438,123.80997467041016,40.712337493896484,102.25791931152344
2022-11-15,147.81007385253906,122.9131088256836,40.158363342285156,102.94342041015625
2022-11-16,146.5786590576172,123.07954406738281,39.728424072265625,101.84300231933594
2022-11-17,148.47999572753906,122.5433120727539,39.959938049316406,101.97828674316406
2022-11-18,149.04151916503906,123.74522399902344,39.87725067138672,101.09436798095703
2022-11-21,145.81027221679688,123.01483917236328,39.835906982421875,100.09315490722656
2022-11-22,147.94802856445312,124.85472869873047,40.58004379272461,102.98853302001953
2022-11-23,148.8247833251953,126.18611907958984,40.38987731933594,102.4743881225586
2022-11-25,145.90879821777344,126.426513671875,40.687522888183594,102.11358642578125
2022-11-28,142.0766143798828,124.216796875,40.98517990112305,99.04683685302734
2022-11-29,139.0718994140625,126.26008605957031,40.91903305053711,99.7052993774414
2022-11-30,145.82998657226562,127.75790405273438,41.448204040527344,100.42688751220703
2022-12-01,146.10581970214844,125.9642333984375,42.23367691040039,99.93981170654297
2022-12-02,145.6132354736328,124.96568298339844,42.093116760253906,99.09195709228516
2022-12-05,144.45077514648438,121.4615478515625,41.94428634643555,96.3769760131836
2022-12-06,140.78607177734375,121.66494750976562,41.10093688964844,93.69808959960938
2022-12-07,138.84535217285156,121.58174133300781,41.539154052734375,93.49063873291016
2022-12-08,140.5299530029297,122.85765838623047,42.81244659423828,94.18515014648438
2022-12-09,140.04721069335938,122.19196319580078,42.76283645629883,93.39141082763672
2022-12-12,142.3426055908203,124.08734130859375,43.12663650512695,95.69147491455078
2022-12-13,143.30801391601562,123.96712493896484,43.879032135009766,96.7377700805664
2022-12-14,141.0816192626953,123.34768676757812,45.04484176635742,96.02522277832031
2022-12-15,134.47132873535156,120.28731536865234,44.32551193237305,95.10517883300781
2022-12-16,132.5109100341797,119.53842163085938,42.49824523925781,94.43772888183594
2022-12-19,130.4027099609375,120.25033569335938,42.465179443359375,94.86164855957031
2022-12-20,130.333740234375,120.83282470703125,42.43210220336914,96.23265838623047
2022-12-21,133.43690490722656,122.19196319580078,42.713218688964844,97.46837615966797
2022-12-22,130.2647705078125,120.80509948730469,42.696678161621094,95.50204467773438
2022-12-23,129.90028381347656,121.37834167480469,42.853782653808594,98.0276107788086
2022-12-27,128.0974884033203,121.80365753173828,42.2750129699707,99.38961029052734
2022-12-28,124.16678619384766,122.4693374633789,42.002159118652344,97.75703430175781
2022-12-29,127.68374633789062,123.17201232910156,42.44038009643555,98.49662780761719
2022-12-30,127.99897003173828,123.98564910888672,42.365962982177734,99.48883056640625
2023-01-03,123.21121978759766,124.9286880493164,42.38249969482422,96.07030487060547
2023-01-04,124.48201751708984,126.09368896484375,41.448204040527344,96.34993743896484
2023-01-05,123.16193389892578,126.06571197509766,41.05958938598633,98.50566101074219
2023-01-06,127.6935806274414,128.47805786132812,42.101375579833984,99.69628143310547
2023-01-09,128.21571350097656,127.9471664428711,40.009544372558594,97.83820343017578
2023-01-10,128.78707885742188,129.09278869628906,39.372894287109375,99.29940032958984
2023-01-11,131.50608825683594,130.0521240234375,39.232330322265625,100.45394134521484
2023-01-12,131.42726135253906,129.92173767089844,39.44731140136719,102.12261962890625
2023-01-13,132.75718688964844,133.2002410888672,39.563053131103516,102.0594711303711
2023-01-17,133.91964721679688,131.14186096191406,38.09960174560547,101.86104583740234
2023-01-18,133.2004852294922,127.20204162597656,37.206634521484375,99.76844787597656
2023-01-19,133.2595977783203,125.50688171386719,37.17356491088867,100.40885162353516
2023-01-20,135.82095336914062,125.81427001953125,37.29758834838867,102.23987579345703
2023-01-23,139.0128173828125,127.85401916503906,37.19010543823242,101.70770263671875
2023-01-24,140.41171264648438,128.9530792236328,36.966861724853516,102.65479278564453
2023-01-25,139.7516632080078,129.57713317871094,37.2645149230957,102.11358642578125
2023-01-26,141.82046508789062,130.3780975341797,36.92241287231445,106.21761322021484
2023-01-27,143.7611846923828,130.69482421875,36.53858947753906,104.27835845947266
2023-01-30,140.87474060058594,129.58645629882812,36.33832931518555,102.4292984008789
2023-01-31,142.14556884765625,130.35951232910156,36.847312927246094,104.63915252685547
2023-02-01,143.2686004638672,130.014892578125,36.688777923583984,103.49363708496094
2023-02-02,148.57852172851562,129.40945434570312,36.99750518798828,100.25550842285156
2023-02-03,152.20382690429688,131.41197204589844,36.76387405395508,100.95003509521484
2023-02-06,149.47496032714844,132.18505859375,36.513553619384766,100.7786636352539
2023-02-07,152.35157775878906,133.79638671875,36.371707916259766,103.65599822998047
2023-02-08,149.66213989257812,132.85565185546875,36.697120666503906,102.7540054321289
2023-02-09,148.62774658203125,130.7879638671875,36.163108825683594,103.14185333251953
2023-02-10,148.99282836914062,131.3654022216797,36.613685607910156,107.48942565917969
2023-02-13,151.79489135742188,132.7904815673828,36.70547103881836,107.07130432128906
2023-02-14,151.15354919433594,133.3772735595703,36.48017883300781,105.8169937133789
2023-02-15,153.255126953125,133.9361114501953,36.14641571044922,105.49886322021484
2023-02-16,151.65673828125,132.09190368652344,35.83769226074219,105.18984985351562
2023-02-17,150.51223754882812,132.48309326171875,36.054630279541016,101.14513397216797
2023-02-21,146.4966278076172,130.0521240234375,35.629085540771484,101.04515075683594
2023-02-22,146.92088317871094,129.05555725097656,35.36207580566406,99.73631286621094
2023-02-23,147.40432739257812,130.0894317626953,35.29531478881836,100.65430450439453
2023-02-24,144.75025939941406,131.262939453125,34.836395263671875,100.66339111328125
2023-02-27,145.94407653808594,132.40859985351562,34.02703094482422,100.48161315917969
2023-02-28,145.44091796875,133.51698303222656,33.851802825927734,99.89989471435547
2023-03-01,143.36895751953125,132.77183532714844,33.526390075683594,100.79064178466797
2023-03-02,143.9609375,131.3933563232422,33.89352035522461,101.25419616699219
2023-03-03,149.0125274658203,133.80569458007812,34.33576583862305,102.53578186035156
2023-03-06,151.77516174316406,133.02330017089844,34.3023796081543,103.44470977783203
2023-03-07,149.57496643066406,129.1114044189453,33.65988540649414,101.44507598876953
2023-03-08,150.82797241210938,128.34765625,33.476322174072266,99.9635238647461
2023-03-09,148.5784454345703,121.39936828613281,32.92561340332031,99.19093322753906
2023-03-10,146.51637268066406,124.48233032226562,32.8671989440918,97.9638900756836
2023-03-13,148.4600372314453,122.2469711303711,33.25938034057617,96.83683013916016
2023-03-14,150.55172729492188,125.38578033447266,33.292755126953125,97.20040130615234
2023-03-15,150.94639587402344,119.46205139160156,33.60982131958008,92.36490631103516
2023-03-16,153.76817321777344,121.78125762939453,33.68492126464844,91.82865905761719
2023-03-17,152.9295196533203,117.18011474609375,33.459632873535156,90.74701690673828
2023-03-20,155.29747009277344,118.41889953613281,34.05206298828125,93.11931610107422
2023-03-21,157.15234375,121.5949935913086,33.926902770996094,97.29127502441406
2023-03-22,155.72174072265625,118.4561538696289,33.38453674316406,95.06442260742188
2023-03-23,156.80702209472656,118.13946533203125,33.526390075683594,93.99189758300781
2023-03-24,158.10939025878906,116.34185028076172,33.70161056518555,94.10095977783203
2023-03-27,156.16571044921875,119.6762924194336,33.55976104736328,96.16421508789062
2023-03-28,155.5441436767578,120.03954315185547,33.367855072021484,97.36399841308594
2023-03-29,158.6224822998047,120.28170776367188,33.58479309082031,99.03641510009766
2023-03-30,160.1912384033203,119.91845703125,33.693267822265625,99.51815032958984
2023-03-31,162.69728088378906,121.3714370727539,34.04371643066406,99.67266845703125
2023-04-03,163.95033264160156,121.23173522949219,34.50263977050781,105.55341339111328
2023-04-04,163.41754150390625,119.611083984375,34.12716293334961,104.54449462890625
2023-04-05,161.57252502441406,119.7894515991211,34.66951370239258,106.33509063720703
2023-04-06,162.46051025390625,119.65801239013672,34.62779998779297,104.57177734375
